week,imedinews.ge,mtavari.tv,tvpirveli.ge,1tv.ge,formulanews.ge,postv.media
2019-12-30,0.1957,0.0963,0.0447,0.0643,0.027,
2020-01-06,0.1975,0.115,0.0418,0.0526,0.0261,
2020-01-13,0.2084,0.104,0.0399,0.0518,0.03,
2020-01-20,0.2184,0.0994,0.0423,0.0545,0.0227,
2020-01-27,0.2248,0.0962,0.0485,0.0491,0.0261,
2020-02-03,0.202,0.1034,0.0503,0.0554,0.0263,
2020-02-10,0.1955,0.0927,0.0494,0.0521,0.0281,
2020-02-17,0.1976,0.0956,0.0462,0.0574,0.0265,
2020-02-24,0.2025,0.0999,0.049,0.058,0.0265,
2020-03-02,0.202,0.0938,0.0491,0.0568,0.0248,
2020-03-09,0.2115,0.0987,0.0481,0.054,0.0228,
2020-03-16,0.2258,0.1008,0.0627,0.0541,0.0175,
2020-03-23,0.2232,0.0988,0.0652,0.0448,0.0225,
2020-03-30,0.2127,0.1071,0.055,0.0412,0.0221,
2020-04-06,0.2386,0.1015,0.049,0.0456,0.0199,
2020-04-13,0.269,0.1053,0.0567,0.0366,0.018,
2020-04-20,0.2596,0.1014,0.0517,0.0394,0.0187,
2020-04-27,0.2704,0.1036,0.0543,0.0357,0.0207,
2020-05-04,0.2594,0.1072,0.0551,0.0379,0.0223,
2020-05-11,0.2712,0.1102,0.0455,0.0399,0.0182,
2020-05-18,0.2475,0.1098,0.0527,0.0458,0.0174,
2020-05-25,0.2541,0.104,0.0576,0.0492,0.0169,
2020-06-01,0.2624,0.1136,0.0558,0.0505,0.0165,
2020-06-08,0.2629,0.1011,0.0438,0.0475,0.0182,
2020-06-15,0.2433,0.1053,0.0464,0.0502,0.0166,
2020-06-22,0.2457,0.095,0.0503,0.042,0.0184,
2020-06-29,0.2228,0.1073,0.0591,0.0562,0.0248,
2020-07-06,0.2132,0.1146,0.0611,0.0535,0.021,
2020-07-13,0.2256,0.0067,0.0535,0.0594,0.032,
2020-07-20,0.2371,0.1206,0.0609,0.0515,0.0228,
2020-07-27,0.2475,0.1248,0.0472,0.0457,0.0221,
2020-08-03,0.2474,0.1248,0.037,0.0493,0.0186,
2020-08-10,0.2427,0.1378,0.0438,0.0551,0.0189,
2020-08-17,0.2492,0.1226,0.0386,0.0474,0.0211,
2020-08-24,0.2334,0.1318,0.0512,0.037,0.0183,
2020-08-31,0.2638,0.176,0.0432,0.0395,0.0241,
2020-09-07,0.2435,0.1351,0.055,0.0567,0.0252,
2020-09-14,0.2386,0.1229,0.0571,0.0462,0.0261,
2020-09-21,0.2452,0.1277,0.0592,0.0427,0.0216,
2020-09-28,0.2308,0.1442,0.0506,0.0438,0.0242,
2020-10-05,0.2147,0.1351,0.0601,0.0526,0.0249,
2020-10-12,0.229,0.1467,0.0606,0.0406,0.0261,
2020-10-19,0.2163,0.1615,0.078,0.0417,0.0247,
2020-10-26,0.214,0.1712,0.0829,0.0407,0.0235,
2020-11-02,0.2021,0.1672,0.0832,0.0415,0.0264,
2020-11-09,0.2187,0.1439,0.0797,0.0539,0.0216,
2020-11-16,0.2153,0.1318,0.0745,0.0515,0.0225,
2020-11-23,0.2303,0.1471,0.0736,0.0477,0.0159,
2020-11-30,0.2217,0.1316,0.0638,0.0506,0.0186,
2020-12-07,0.2104,0.1442,0.0692,0.0452,0.0175,
2020-12-14,0.2068,0.1431,0.0683,0.0434,0.0179,
2020-12-28,0.2195,0.1152,0.0584,0.0447,0.0204,
2021-01-04,0.204,0.113,0.061,0.0515,0.0183,
2021-01-11,0.2146,0.1211,0.0646,0.0474,0.0207,
2021-01-18,0.1937,0.1284,0.0743,0.0471,0.022,
2021-01-25,0.2071,0.1271,0.0539,0.0405,0.021,
2021-02-01,0.2273,0.1177,0.0691,0.0411,0.0185,
2021-02-08,0.2188,0.1279,0.0659,0.0328,0.0189,
2021-02-15,0.2008,0.1467,0.0814,0.0377,0.0193,
2021-02-22,0.1979,0.1402,0.0782,0.043,0.0215,
2021-03-01,0.1991,0.1348,0.0753,0.0471,0.0201,
2021-03-08,0.1977,0.1293,0.0743,0.0396,0.0261,
2021-03-15,0.2019,0.1296,0.0871,0.0364,0.0293,
2021-03-22,0.2203,0.13,0.067,0.0438,0.0281,
2021-03-29,0.2266,0.1301,0.0675,0.0462,0.0289,
2021-04-05,0.2145,0.1185,0.0692,0.0463,0.0254,
2021-04-12,0.2062,0.1202,0.0681,0.0412,0.032,
2021-04-19,0.2048,0.1162,0.0698,0.0416,0.0295,
2021-04-26,0.2238,0.1212,0.0598,0.039,0.0307,
